Geo Point;Geo Shape;Standort;anzeigesta
47.418431684163494, 9.366140430283432;"{""coordinates"": [9.366140430283432, 47.418431684163494], ""type"": ""Point""}";Unterstr. 52;1
47.420059740506886, 9.353799977937028;"{""coordinates"": [9.353799977937028, 47.420059740506886], ""type"": ""Point""}";Ulmenstrasse 9;1
47.42750892206684, 9.375628998529953;"{""coordinates"": [9.375628998529953, 47.42750892206684], ""type"": ""Point""}";Kirchgasse 15;1
47.40813983213454, 9.339524117680217;"{""coordinates"": [9.339524117680217, 47.40813983213454], ""type"": ""Point""}";Hechtackerstrasse 14;1
47.43585821140218, 9.410588795668904;"{""coordinates"": [9.410588795668904, 47.43585821140218], ""type"": ""Point""}";Burenbüchelstrasse 16;1
47.41330165346442, 9.331296428791443;"{""coordinates"": [9.331296428791443, 47.41330165346442], ""type"": ""Point""}";Ullmannstrasse 37;1
47.4070022340633, 9.312021530901381;"{""coordinates"": [9.312021530901381, 47.4070022340633], ""type"": ""Point""}";Moosgartenstrasse 9/11;1
47.41526832731527, 9.382597232684354;"{""coordinates"": [9.382597232684354, 47.41526832731527], ""type"": ""Point""}";Spiltrücklistrasse 1;1
47.425451762953074, 9.357590200874291;"{""coordinates"": [9.357590200874291, 47.425451762953074], ""type"": ""Point""}";Tambourenstrasse 34;1
47.44077744015797, 9.409370653360513;"{""coordinates"": [9.409370653360513, 47.44077744015797], ""type"": ""Point""}";Oberzilstrasse 2;1
47.43313132044499, 9.393497817677783;"{""coordinates"": [9.393497817677783, 47.43313132044499], ""type"": ""Point""}";Lindenstrasse 71;1
47.4337880460234, 9.41562738540095;"{""coordinates"": [9.41562738540095, 47.4337880460234], ""type"": ""Point""}";Kublystrasse;1
47.425839988446654, 9.38504636829435;"{""coordinates"": [9.38504636829435, 47.425839988446654], ""type"": ""Point""}";Linsebühlstrasse 97;1
47.42494307373998, 9.383539316537748;"{""coordinates"": [9.383539316537748, 47.42494307373998], ""type"": ""Point""}";Linsebühlstrasse 74;1
47.425186206098694, 9.381991508674004;"{""coordinates"": [9.381991508674004, 47.425186206098694], ""type"": ""Point""}";Lämmlisbrunnenstrasse 44;1
47.42595142413916, 9.382025061023421;"{""coordinates"": [9.382025061023421, 47.42595142413916], ""type"": ""Point""}";Lämmlisbrunnenstrasse 53;1
47.428120735310586, 9.38973274862586;"{""coordinates"": [9.38973274862586, 47.428120735310586], ""type"": ""Point""}";Ackerstrasse 1;1
47.42950761147947, 9.389783641150023;"{""coordinates"": [9.389783641150023, 47.42950761147947], ""type"": ""Point""}";Tempelackerstrasse 30;1
47.42650194346403, 9.388945545039936;"{""coordinates"": [9.388945545039936, 47.42650194346403], ""type"": ""Point""}";Steingrüeblistrasse 24;1
47.41440060035578, 9.399864325998122;"{""coordinates"": [9.399864325998122, 47.41440060035578], ""type"": ""Point""}";St.Georgen-Strasse 220;1
47.425806025185935, 9.403434914718378;"{""coordinates"": [9.403434914718378, 47.425806025185935], ""type"": ""Point""}";Hardungstrasse 4;1
47.40270857614272, 9.337064883967143;"{""coordinates"": [9.337064883967143, 47.40270857614272], ""type"": ""Point""}";Wolfganghof 5;1
47.4264867832288, 9.383673705741746;"{""coordinates"": [9.383673705741746, 47.4264867832288], ""type"": ""Point""}";Florastrasse 5;1
47.4034628520784, 9.314501098547549;"{""coordinates"": [9.314501098547549, 47.4034628520784], ""type"": ""Point""}";Koblerstrasse Wendeplatz;1
47.41920271216913, 9.365936016318976;"{""coordinates"": [9.365936016318976, 47.41920271216913], ""type"": ""Point""}";Geltenwilenstrasse 16;1
47.418974045816, 9.372797199426163;"{""coordinates"": [9.372797199426163, 47.418974045816], ""type"": ""Point""}";Berneggstrasse 52;1
47.43839667539539, 9.393348865820768;"{""coordinates"": [9.393348865820768, 47.43839667539539], ""type"": ""Point""}";Kolosseumstrasse 33;1
47.410279452455825, 9.368882374723773;"{""coordinates"": [9.368882374723773, 47.410279452455825], ""type"": ""Point""}";Wattstrasse 9;1
47.4064553087934, 9.330697828429843;"{""coordinates"": [9.330697828429843, 47.4064553087934], ""type"": ""Point""}";Lehnstrasse 30;1
47.405169854027776, 9.327811082752904;"{""coordinates"": [9.327811082752904, 47.405169854027776], ""type"": ""Point""}";Lehnstrasse / Hinterberg;1
47.40608172684334, 9.3253033217681;"{""coordinates"": [9.3253033217681, 47.40608172684334], ""type"": ""Point""}";Lehnstrasse 100;1
47.42116783084899, 9.345945772706166;"{""coordinates"": [9.345945772706166, 47.42116783084899], ""type"": ""Point""}";Zwyssigstrasse 24;1
47.425551353505, 9.405902974415895;"{""coordinates"": [9.405902974415895, 47.425551353505], ""type"": ""Point""}";Huebstrasse 3;1
47.44319612588293, 9.412071060663028;"{""coordinates"": [9.412071060663028, 47.44319612588293], ""type"": ""Point""}";Zilstrasse / Imbodenstrasse;1
47.40407491244968, 9.330259031152606;"{""coordinates"": [9.330259031152606, 47.40407491244968], ""type"": ""Point""}";Aetschbergstrasse 8;1
47.40889266357226, 9.344303767287197;"{""coordinates"": [9.344303767287197, 47.40889266357226], ""type"": ""Point""}";Oberstrasse 253;1
47.41831076498106, 9.356023070405763;"{""coordinates"": [9.356023070405763, 47.41831076498106], ""type"": ""Point""}";Salisstrasse 7;1
47.41784373696579, 9.354971819964714;"{""coordinates"": [9.354971819964714, 47.41784373696579], ""type"": ""Point""}";Turnerstrasse 30;1
47.42294987855908, 9.380466993670913;"{""coordinates"": [9.380466993670913, 47.42294987855908], ""type"": ""Point""}";St.Georgen-Strasse 19;1
47.4341791213221, 9.413440010780738;"{""coordinates"": [9.413440010780738, 47.4341791213221], ""type"": ""Point""}";Rehetobelstrasse 85;1
47.407285020513825, 9.326616946172583;"{""coordinates"": [9.326616946172583, 47.407285020513825], ""type"": ""Point""}";Zweibruggenmühle;1
47.403003166019616, 9.30136206652805;"{""coordinates"": [9.30136206652805, 47.403003166019616], ""type"": ""Point""}";Kreuzbühlstrasse 1;1
47.42361569988051, 9.380977908596568;"{""coordinates"": [9.380977908596568, 47.42361569988051], ""type"": ""Point""}";Rotachstrasse 2;1
47.421262788287045, 9.352214978182491;"{""coordinates"": [9.352214978182491, 47.421262788287045], ""type"": ""Point""}";Lilienstrasse 17;1
47.43326874004234, 9.383309643910376;"{""coordinates"": [9.383309643910376, 47.43326874004234], ""type"": ""Point""}";Dianastrasse / Dianaweg;1
47.42485211074167, 9.36094442436513;"{""coordinates"": [9.36094442436513, 47.42485211074167], ""type"": ""Point""}";Dietlistrasse 25;1
